reward
188.0
248.0
-260.0
-255.0
-330.0
185.0
152.0
216.0
124.0
208.0
245.0
92.0
62.0
270.0
84.0
152.0
258.0
274.0
230.0
50.0
155.0
65.0
65.0
104.0
160.0
168.0
250.0
142.0
122.0
100.0
256.0
92.0
270.0
216.0
138.0
238.0
164.0
196.0
66.0
238.0
178.0
58.0
110.0
258.0
72.0
56.0
136.0
220.0
162.0
176.0
84.0
204.0
178.0
254.0
246.0
270.0
185.0
140.0
152.0
72.0
220.0
180.0
108.0
48.0
40.0
226.0
194.0
82.0
178.0
268.0
252.0
98.0
180.0
230.0
276.0
175.0
140.0
125.0
188.0
90.0
155.0
185.0
140.0
205.0
110.0
104.0
250.0
164.0
185.0
110.0
125.0
170.0
155.0
152.0
150.0
116.0
102.0
256.0
225.0
200.0
